product_name,generic_name,quantity,brands,brands_tags,categories,categories_tags,categories_en
Vitória crackers,,,,,,,
Cacao,,130 g,,,,,
Filetes de pollo empanado,,,,,,,
 moutarde au moût de raisin ,,100g,courte paille,courte-paille,"Epicerie, Condiments, Sauces, Moutardes","en:groceries,en:condiments,en:sauces,en:mustards","Groceries,Condiments,Sauces,Mustards"
Sfiudwx,,dgesc,Watt,watt,Xsf,fr:xsf,fr:xsf
Sauce Sweety chili 0%,,,,,,,
Mini coco,,,,,,,
Pistou d'ail des ours,,,,,,,
Pain maïs,,,,,,,
Mendiants,,,,,,,
Sachet calisson,,,,,,,
Pate d'amende,,,,,Pâte d'amende,fr:pate-d-amende,fr:pate-d-amende
Salade de carottes râpées,,,,,"Plats préparés, Légumes préparés, Carottes râpées, Carottes râpées assaisonnées","en:meals,en:prepared-vegetables,en:grated-carrots,en:seasoned-shredded-carrots","Meals,Prepared vegetables,Grated carrots,Seasoned shredded carrots"
Fromage blanc aux myrtilles,,,,,,,
,,,,,,,
Vainilla,,,,,,,
Baguette parisien,,,,,,,
Chocolate n 3,,80 g,,,,,
&quot;Baguette Lyonnais&quot;,,,,,,,
Solène céréales poulet,,,CROUS,crous,,,
Tarte noix de coco,,,"Crous Resto',Crous","crous-resto,crous","Tartes, Tartes sucrées, Tartes à la noix de coco","en:pies,en:sweet-pies,en:coconut-pies","Pies,Sweet pies,Coconut pies"
Salade de fruits exotiques,,,,,,,
Chouquettes x 30,,,,,,,
Pain de maïs bio,,,,,,,
Tisane Cassis,,,,,,,
Fromage blanc pêche,,,,,,,
Crème dessert chocolat,,,Ferme De La Frémondière,ferme-de-la-fremondiere,,,
Bouillie de sarrasin,,,,,,,
Compote de poire,,,Crous,crous,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Desserts, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Compotes, Compotes-de-poire","en:plant-based-foods-and-beverages,en:plant-based-foods,en:desserts,en:fruits-and-vegetables-based-foods,en:fruits-based-foods,en:compotes,en:pear-compotes","Plant-based foods and beverages,Plant-based foods,Desserts,Fruits and vegetables based foods,Fruits based foods,Compotes,Pear compotes"
Paëlla de poulet,,,,,,,
Aiguillettes de poulet,,,,,"Viandes, Volailles, Poulets, Aiguillettes de poulet","en:meats,en:poultries,en:chickens,fr:aiguillettes-de-poulet","Meats,Poultries,Chickens,fr:Aiguillettes de poulet"
Salade shaker chef,,,,,,,
Salade de macedoine de légumes,,,,,"Plats préparés, Légumes préparés, Entrées, Entrées froides, Macédoines de légumes préparées","en:meals,en:prepared-vegetables,en:starters,en:cold-starters,en:prepared-vegetables-macedoines","Meals,Prepared vegetables,Starters,Cold starters,Prepared vegetables macedoines"
Baguette Poitevin,,,Crous resto,crous-resto,,,
Suedois thon,,,,,,,
Ciabatta Bombay,,,,,,,
Ciabatta Roma,,,,,,,
Salade tomate,,,,,,,
Farine de blé noir,,1kg,Ferme t'y R'nao,ferme-t-y-r-nao,,,
Mousse chocolat douceur,,,,,,,
Baguette bio au levain,,,,,,,
Coca des flandres,,,,,,,
Brochettes dinde,,,,,,,
Suedois saumon,,,Crous,crous,,,
Saucisse au chou fumé BBC SV (Morteau),,,,,,,
Jus de Pommes,,,,,,,
Crêpes au Kamok,,,,,,,
Caramel vanille,,,,,,,
Thé blanc de la Reunion,,4 g,,,,,
Salade shaker taboulé,,,Crous,crous,,,
Banana Chips Sweetened (Whole),,,,,,,
Peanuts,,,Torn & Glasser,torn-glasser,,,
Sandwich classique fromage,,,,,,,
Pain epeautre,,,,,,,
Sandiwch Tradition Complet Jambon,,,,,,,
Fromage blanc à la creme de marron,,,Crous,crous,,,
Abondance,,,,,"Produits laitiers, Produits fermentés, Produits laitiers fermentés, Fromages, Fromages de France, Abondance","en:dairies,en:fermented-foods,en:fermented-milk-products,en:cheeses,en:french-cheeses,fr:abondance","Dairies,Fermented foods,Fermented milk products,Cheeses,French cheeses,fr:Abondance"
Salade verte,,,,,,,
cuisse de poulet direct au four curry,,,,,"Viandes, Volailles, Poulets, Cuisses de poulet","en:meats,en:poultries,en:chickens,en:chicken-thighs","Meats,Poultries,Chickens,Chicken thighs"
Bagel,,,,,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Pains spéciaux, Pains Bagel","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:special-breads,en:bagel-breads","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Special breads,Bagel breads"
Sandwich solene céréales sicilien,,,Crous,crous,,,
Brioché poulet caesar,,,,,,,
BAguette bressan,,1,Crousresto',crousresto,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Céréales et pommes de terre, Pains, Baguettes","en:plant-based-foods-and-beverages,en:plant-based-foods,en:cereals-and-potatoes,en:breads,en:baguettes","Plant-based foods and beverages,Plant-based foods,Cereals and potatoes,Breads,Baguettes"
Baguette Niçois,,,,,,,
Pavé de saumon fumé à la ficelle,,,,,"Produits de la mer, Poissons, Saumons, Poissons fumés, Saumons fumés, Pavés de saumon, Pavés de saumon fumé","en:seafood,en:fishes,en:salmons,en:smoked-fishes,en:smoked-salmons,fr:paves-de-saumon,fr:paves-de-saumon-fume","Seafood,Fishes,Salmons,Smoked fishes,Smoked salmons,fr:Pavés de saumon,fr:paves-de-saumon-fume"
Torti au saumon fumé,,,,,,,
CORNED BEEF,,,,,"Conserves, Viandes en conserve, Corned beef","en:canned-foods,en:canned-meats,fr:corned-beef","Canned foods,Canned meats,fr:corned-beef"
,,,,,,,
Miel de thym,,,,,,,
Mediterranean Pasta Salad,,,Wrights of Howth,wrights-of-howth,,,
pavé de saumon fumé,,,,,"Produits de la mer, Poissons, Saumons, Pavés de saumon","en:seafood,en:fishes,en:salmons,fr:paves-de-saumon","Seafood,Fishes,Salmons,fr:Pavés de saumon"
Fromage blanc fermier de chèvre au lait entier,,,,,,,
Pain fit n fiz,,,,,,,
,,,,,,,
Salade fusili poulet curry,,,,,,,
Baguette Lyonnais &quot;Petit prix&quot;,,,,,,,
Galettes Bretonnes 300gr - Biscuiterie &quot;le phare&quot;,,,,,,,
,,,,,,,
Sommeil Bio,,,,,,,
Pasta box carbonara,,,,,,,
Pasta box jambon champignion,,,,,,,
Salade Grecque,,,,,"Plats préparés, Salades, Salades composées","en:meals,en:salads,en:prepared-salads","Meals,Salads,Prepared salads"
Salade penne pesto,,,,,,,
Baguette Poitevin,,,,,,,
Rillettes de sanglier au Chouchen,,,,,,,
Bagel Boston,,,,,,,
Tarte chocolat,,,,,,,
Soupe aux légumes de mon jardin,,,,,,,
Céleri remoulade,,,,,,,
Suédois Jambon,,,,,,,
Salade fraîcheur 3 fromages,,,,,,,
Salade fraicheur caesar,,,,,,,
salade ibérique,,500 g,crous resto,crous-resto,,,
,,,,,,,
Pâte de fruit fraise,,,,,,,
Bretzels en chocolat au lait,,120g,Abtey,abtey,,,
Solène céréales deux fromages,,,,,,,
Confiture artisanale de Raphaël,,,,,,,
Baguette Niçois,,,,,,,
8 Buchettes poulet cœur aux figues,,,,,,,
Baguette Gruyère &quot;Petit Prix&quot;,,,,,,,
Pur jus de pomme,,,Les Jardins de Gaïa,les-jardins-de-gaia,,,
Salade primeur,,,,,,,
Organic Salted Nut Mix,,,Grizzlies,grizzlies,,,
Organic Polenta,,,Bob's Red Mill,bob-s-red-mill,,,
Breadshop Honey Gone Nuts Granola,,,Unfi,unfi,,,
Organic Long Grain White Rice,,,Lundberg,lundberg,,,
Organic Muesli,,,Daddy's Muesli,daddy-s-muesli,,,
Organic Dark Chocolate Minis,,,Equal Exchange,equal-exchange,,,
Organic Sunflower Oil,,,Napa Valley Naturals,napa-valley-naturals,,,
Organic Adzuki Beans,,,Unfi,unfi,,,
Organic Penne Pasta,,,Gardentime,gardentime,,,
Zen Party Mix,,,Sunridge,sunridge,,,
Organic Golden Flax Seeds,,,Unfi,unfi,,,
Organic Spicy Punks,,,Eden,eden,,,
Biscuiot de bourg de batz,,,,,,,
Mélange fruits secs,,Vrac,Agrosourcing,agrosourcing,"Aliments et boissons à base de végétaux, Aliments d'origine végétale, Aliments à base de fruits et de légumes, Fruits et produits dérivés, Produits déshydratés, Aliments à base de plantes séchées, Fruits secs, Mélanges de fruits secs","en:plant-based-foods-and-beverages,en:plant-based-foods,en:fruits-and-vegetables-based-foods,en:dried-products,en:fruits-based-foods,en:dried-plant-based-foods,en:dried-fruits,en:dried-mixed-fruits","Plant-based foods and beverages,Plant-based foods,Fruits and vegetables based foods,Dried products,Fruits based foods,Dried plant-based foods,Dried fruits,Dried mixed fruits"
Cinnamon Nut Granola,,,Grizzlies,grizzlies,,,
Organic Hazelnuts,,,Grizzlies,grizzlies,,,
Organic Sweetened Banana Chips,,,Unfi,unfi,,,
Lotus Organic Brown Jasmine Rice,,,Unfi,unfi,,,
Organic Oat Groats,,,Pcc,pcc,,,
Energy Power Mix,,,Sunridge,sunridge,,,
Antioxidant Mix - Berries & Chocolate,,,Sunridge,sunridge,,,
Organic Quinoa Coconut Granola With Mango,,,Sunridge,sunridge,,,
Fire Roasted Hatch Green Chile Almonds,,,Sunridge,sunridge,,,
Peanut Butter Power Chews,,,Sunridge,sunridge,,,
Real Salt Granular,,,Redmond,redmond,,,
Organic Unswt Berry Coconut Granola,,,New England Naturals,new-england-naturals,,,
Roasted Salted Black Pepper Cashews,,,Sunridge,sunridge,,,
Thai Curry Roasted Cashews,,,Sunridge,sunridge,,,
Wasabi Tamari Almonds,,,Sunridge,sunridge,,,
Organic Medium Shredded Coconut,,,Unfi,unfi,,,
Organic Red Quinoa,,,Pcc,pcc,,,
Dark Chocolate Coconut Chews,,,Sunridge,sunridge,,,
Seventh Heaven Organic Trail Mix,,,Grizzlies,grizzlies,,,
"Organic Unsweetened Granola, Cinnamon Almond",,,New England Naturals,new-england-naturals,,,
Organic Blueberry Almond Granola,,,Sunridge,sunridge,,,
"Sweeteners, Demerara Turbinado Sugar",,,"Wholesome,  Wholesome Sweeteners","wholesome,wholesome-sweeteners",,,
Aunt Maple's Crunchy Granola,,,Grizzlies,grizzlies,,,
Organic Coconut Chips,,,Grizzlies,grizzlies,,,
Organic Black Beans,,,Unfi,unfi,,,
Organic Whole Grain Emmer Farro,,,Bluebird Grain,bluebird-grain,,,
Organic Hard Red Wheat Berries,,,Bluebird Grain,bluebird-grain,,,
Aunt Ginger's Snappy Granola,,,Grizzlies,grizzlies,,,
Dark Chocolate Sea Salt & Turbinado Almonds,,,Sunridge,sunridge,,,
Divinely Organic Granola,,,Grizzlies,grizzlies,,,
Organic Black Chia Seeds,,,Unfi,unfi,,,
Naturablue original,,250 ml,Natura4Ever,natura4ever,Compléments alimentaires,en:dietary-supplements,Dietary supplements
Cotelettes,,,,,,,
Les délices de la Monne,,,,,,,
Habitus Stimulus,,,,,,,
Filet de bœuf,,2.46 kg,,,Filet de bœuf,fr:filet-de-boeuf,fr:filet-de-boeuf
Marks % Spencer 2 Blueberry Muffins,,230g,,,,,
,,,,,,,
